request_id,department,section_id,defect_type,severity,reported_date,overdue_days,preferred_window_start,preferred_window_end,estimated_duration_min,status
ENG-0047,ENGINEERING,NDLS-NZM,Rail fracture risk,MINOR,2026-07-04,59,2026-09-05 23:00,2026-09-06 00:30,90,PENDING
ENG-0054,ENGINEERING,BE-LKO,Track geometry deviation,MINOR,2026-07-04,56,2026-09-21 23:00,2026-09-22 00:30,90,PENDING
TRA-0020,TRACTION,BRC-ST,OHE wire wear,MINOR,2026-07-04,59,2026-09-20 23:00,2026-09-21 00:30,90,PENDING
SIG-0035,SIGNAL_TELECOM,ALJN-TDL,Point machine malfunction,MINOR,2026-07-05,58,2026-09-26 23:00,2026-09-27 00:30,90,PENDING
TRA-0028,TRACTION,GZB-NDLS,Feeder cable fault,MINOR,2026-07-06,56,2026-09-27 03:00,2026-09-27 04:30,90,PENDING
ENG-0012,ENGINEERING,MGS-ALD,Ballast degradation,MINOR,2026-07-07,56,2026-09-27 03:00,2026-09-27 04:30,90,PENDING
TRA-0011,TRACTION,BZA-VSKP,Traction substation overdue check,MINOR,2026-07-08,52,2026-09-27 01:00,2026-09-27 02:30,90,PENDING
SIG-0005,SIGNAL_TELECOM,ALJN-GZB,Signal relay fault,MINOR,2026-07-10,51,2026-09-07 22:00,2026-09-07 23:30,90,PENDING
SIG-0034,SIGNAL_TELECOM,PNBE-MGS,Axle counter fault,MINOR,2026-07-10,53,2026-09-25 22:00,2026-09-25 23:30,90,PENDING
TRA-0026,TRACTION,NZM-AGC,Traction substation overdue check,MINOR,2026-07-10,51,2026-09-24 00:00,2026-09-24 01:30,90,PENDING
SIG-0010,SIGNAL_TELECOM,ASN-BWN,Cable insulation fault,MINOR,2026-07-11,49,2026-09-24 03:00,2026-09-24 04:30,90,PENDING
TRA-0029,TRACTION,ALD-CNB,Feeder cable fault,MINOR,2026-07-11,49,2026-09-05 04:00,2026-09-05 05:30,90,PENDING
TRA-0001,TRACTION,SUR-GTL,Pantograph contact wear,MINOR,2026-07-14,46,2026-09-14 23:00,2026-09-15 00:30,90,PENDING
ENG-0026,ENGINEERING,ET-JBP,Track geometry deviation,MINOR,2026-07-15,45,2026-09-18 04:00,2026-09-18 05:30,90,PENDING
TRA-0008,TRACTION,BPL-ET,Traction substation overdue check,MINOR,2026-07-15,46,2026-09-07 04:00,2026-09-07 05:30,90,PENDING
ENG-0004,ENGINEERING,ALD-CNB,Rail fracture risk,MINOR,2026-07-16,46,2026-09-24 04:00,2026-09-24 05:30,90,PENDING
SIG-0003,SIGNAL_TELECOM,UMB-MB,Point machine malfunction,MINOR,2026-07-16,47,2026-09-23 02:00,2026-09-23 03:30,90,PENDING
SIG-0026,SIGNAL_TELECOM,NZM-NDLS,Signal relay fault,MINOR,2026-07-16,44,2026-09-15 01:00,2026-09-15 02:30,90,PENDING
SIG-0021,SIGNAL_TELECOM,BPL-JHS,Cable insulation fault,MINOR,2026-07-17,44,2026-09-26 04:00,2026-09-26 05:30,90,PENDING
ENG-0011,ENGINEERING,BWN-ASN,Ballast degradation,MINOR,2026-07-18,44,2026-09-23 03:00,2026-09-23 04:30,90,PENDING
ENG-0044,ENGINEERING,LKO-BE,Fastening failure,MINOR,2026-07-18,45,2026-09-04 22:00,2026-09-04 23:30,90,PENDING
SIG-0018,SIGNAL_TELECOM,KYN-PUNE,Axle counter fault,MINOR,2026-07-18,45,2026-09-26 00:00,2026-09-26 01:30,90,PENDING
ENG-0049,ENGINEERING,JBP-ET,Track geometry deviation,MINOR,2026-07-19,44,2026-09-04 23:00,2026-09-05 00:30,90,PENDING
TRA-0022,TRACTION,DHN-ASN,Pantograph contact wear,MINOR,2026-07-20,40,2026-09-16 04:00,2026-09-16 05:30,90,PENDING
SIG-0012,SIGNAL_TELECOM,BRC-ADI,Track circuit failure,MINOR,2026-07-26,35,2026-09-11 02:00,2026-09-11 03:30,90,PENDING
SIG-0024,SIGNAL_TELECOM,TDL-ALJN,Track circuit failure,MINOR,2026-07-26,36,2026-09-10 03:00,2026-09-10 04:30,90,PENDING
ENG-0018,ENGINEERING,TDL-JP,Rail fracture risk,MINOR,2026-07-28,33,2026-09-26 23:00,2026-09-27 00:30,90,PENDING
ENG-0037,ENGINEERING,JP-TDL,Fastening failure,MINOR,2026-07-28,34,2026-09-11 02:00,2026-09-11 03:30,90,PENDING
SIG-0017,SIGNAL_TELECOM,ERS-MAS,Signal relay fault,MINOR,2026-07-29,31,2026-09-15 23:00,2026-09-16 00:30,90,PENDING
SIG-0022,SIGNAL_TELECOM,ST-BRC,Cable insulation fault,MINOR,2026-07-30,30,2026-09-07 23:00,2026-09-08 00:30,90,PENDING
SIG-0009,SIGNAL_TELECOM,TDL-CNB,Track circuit failure,MINOR,2026-08-03,27,2026-09-23 00:00,2026-09-23 01:30,90,PENDING
ENG-0045,ENGINEERING,ET-NGP,Track geometry deviation,MAJOR,2026-08-06,24,2026-09-11 02:00,2026-09-11 04:00,120,PENDING
SIG-0015,SIGNAL_TELECOM,PNBE-MGS,Cable insulation fault,MINOR,2026-08-06,24,2026-09-04 00:00,2026-09-04 01:30,90,PENDING
TRA-0006,TRACTION,ERS-MAO,Traction substation overdue check,MINOR,2026-08-07,23,2026-09-12 00:00,2026-09-12 01:30,90,PENDING
ENG-0025,ENGINEERING,HWH-TATA,Ballast degradation,MAJOR,2026-08-08,23,2026-09-24 03:00,2026-09-24 05:00,120,PENDING
ENG-0027,ENGINEERING,DHN-ASN,Track geometry deviation,MAJOR,2026-08-08,23,2026-09-02 01:00,2026-09-02 03:00,120,PENDING
SIG-0004,SIGNAL_TELECOM,ET-JBP,Signal relay fault,MAJOR,2026-08-08,21,2026-09-23 00:00,2026-09-23 02:00,120,PENDING
SIG-0011,SIGNAL_TELECOM,NDLS-NZM,Interlocking overdue check,MAJOR,2026-08-08,21,2026-09-23 23:00,2026-09-24 01:00,120,PENDING
SIG-0013,SIGNAL_TELECOM,AGC-GWL,Interlocking overdue check,MAJOR,2026-08-08,22,2026-09-16 04:00,2026-09-16 06:00,120,PENDING
TRA-0003,TRACTION,BZA-SC,Traction substation overdue check,MAJOR,2026-08-08,22,2026-09-04 22:00,2026-09-05 00:00,120,PENDING
ENG-0015,ENGINEERING,AGC-GWL,Track geometry deviation,MAJOR,2026-08-09,20,2026-09-04 00:00,2026-09-04 02:00,120,PENDING
ENG-0031,ENGINEERING,CSTM-DR,Bridge deck inspection due,MAJOR,2026-08-09,23,2026-09-03 04:00,2026-09-03 06:00,120,PENDING
SIG-0023,SIGNAL_TELECOM,BWN-HWH,Point machine malfunction,MAJOR,2026-08-09,21,2026-09-26 00:00,2026-09-26 02:00,120,PENDING
SIG-0033,SIGNAL_TELECOM,BZA-NGP,Track circuit failure,MAJOR,2026-08-09,21,2026-09-26 04:00,2026-09-26 06:00,120,PENDING
TRA-0002,TRACTION,JBP-ET,Insulator flashover risk,MAJOR,2026-08-09,23,2026-09-27 22:00,2026-09-28 00:00,120,PENDING
ENG-0039,ENGINEERING,ALJN-TDL,Fastening failure,MAJOR,2026-08-10,22,2026-09-18 01:00,2026-09-18 03:00,120,PENDING
SIG-0031,SIGNAL_TELECOM,ERS-MAO,Cable insulation fault,MINOR,2026-08-10,22,2026-09-14 22:00,2026-09-14 23:30,90,PENDING
TRA-0010,TRACTION,BSP-R,Pantograph contact wear,MAJOR,2026-08-10,19,2026-09-17 22:00,2026-09-18 00:00,120,PENDING
ENG-0023,ENGINEERING,BRC-ST,Rail fracture risk,MAJOR,2026-08-11,21,2026-09-26 22:00,2026-09-27 00:00,120,PENDING
SIG-0014,SIGNAL_TELECOM,GWL-JHS,Axle counter fault,MAJOR,2026-08-11,20,2026-09-23 01:00,2026-09-23 03:00,120,PENDING
SIG-0025,SIGNAL_TELECOM,LDH-ASR,Point machine malfunction,MAJOR,2026-08-11,20,2026-09-09 04:00,2026-09-09 06:00,120,PENDING
ENG-0010,ENGINEERING,ET-NGP,Bridge deck inspection due,MAJOR,2026-08-12,20,2026-09-21 23:00,2026-09-22 01:00,120,PENDING
ENG-0034,ENGINEERING,BWN-HWH,Rail fracture risk,MAJOR,2026-08-12,20,2026-09-04 00:00,2026-09-04 02:00,120,PENDING
ENG-0036,ENGINEERING,MFP-LKO,Rail wear beyond limit,MAJOR,2026-08-12,18,2026-09-15 23:00,2026-09-16 01:00,120,PENDING
ENG-0050,ENGINEERING,AGC-GWL,Rail fracture risk,MAJOR,2026-08-13,17,2026-09-26 02:00,2026-09-26 04:00,120,PENDING
SIG-0027,SIGNAL_TELECOM,ET-NGP,Cable insulation fault,MAJOR,2026-08-13,19,2026-09-29 00:00,2026-09-29 02:00,120,PENDING
SIG-0028,SIGNAL_TELECOM,KYN-PUNE,Track circuit failure,MAJOR,2026-08-13,16,2026-09-19 23:00,2026-09-20 01:00,120,PENDING
TRA-0012,TRACTION,CNB-ALD,Insulator flashover risk,MAJOR,2026-08-13,16,2026-09-19 22:00,2026-09-20 00:00,120,PENDING
TRA-0014,TRACTION,JHS-BPL,Insulator flashover risk,MAJOR,2026-08-13,19,2026-09-25 22:00,2026-09-26 00:00,120,PENDING
ENG-0021,ENGINEERING,CNB-TDL,Track geometry deviation,MAJOR,2026-08-14,18,2026-09-21 03:00,2026-09-21 05:00,120,PENDING
ENG-0030,ENGINEERING,BPL-ET,Rail fracture risk,MAJOR,2026-08-14,18,2026-09-23 04:00,2026-09-23 06:00,120,PENDING
ENG-0043,ENGINEERING,UMB-LDH,Ballast degradation,MAJOR,2026-08-14,16,2026-09-26 01:00,2026-09-26 03:00,120,PENDING
ENG-0048,ENGINEERING,NDLS-NZM,Fastening failure,MAJOR,2026-08-14,17,2026-09-24 03:00,2026-09-24 05:00,120,PENDING
SIG-0016,SIGNAL_TELECOM,LDH-JAT,Track circuit failure,MAJOR,2026-08-14,18,2026-09-03 02:00,2026-09-03 04:00,120,PENDING
ENG-0014,ENGINEERING,JHS-BPL,Ballast degradation,MAJOR,2026-08-15,15,2026-09-25 22:00,2026-09-26 00:00,120,PENDING
SIG-0001,SIGNAL_TELECOM,AGC-NZM,Axle counter fault,MAJOR,2026-08-15,16,2026-09-10 02:00,2026-09-10 04:00,120,PENDING
TRA-0025,TRACTION,TDL-CNB,Pantograph contact wear,MAJOR,2026-08-15,17,2026-09-07 01:00,2026-09-07 03:00,120,PENDING
ENG-0029,ENGINEERING,TDL-CNB,Bridge deck inspection due,MAJOR,2026-08-16,13,2026-09-09 00:00,2026-09-09 02:00,120,PENDING
SIG-0006,SIGNAL_TELECOM,JBP-ALD,Signal relay fault,MAJOR,2026-08-16,14,2026-09-15 22:00,2026-09-16 00:00,120,PENDING
TRA-0023,TRACTION,KYN-DR,Traction substation overdue check,MAJOR,2026-08-16,14,2026-09-20 22:00,2026-09-21 00:00,120,PENDING
ENG-0042,ENGINEERING,RTM-BRC,Track geometry deviation,MAJOR,2026-08-17,14,2026-09-23 23:00,2026-09-24 01:00,120,PENDING
TRA-0019,TRACTION,KYN-PUNE,Traction substation overdue check,MAJOR,2026-08-18,12,2026-09-07 01:00,2026-09-07 03:00,120,PENDING
ENG-0041,ENGINEERING,GZB-NZM,Fastening failure,MAJOR,2026-08-20,9,2026-09-23 22:00,2026-09-24 00:00,120,PENDING
ENG-0046,ENGINEERING,GWL-JHS,Track geometry deviation,MAJOR,2026-08-20,12,2026-09-23 00:00,2026-09-23 02:00,120,PENDING
ENG-0051,ENGINEERING,RTM-KOTA,Bridge deck inspection due,MAJOR,2026-08-20,12,2026-09-05 01:00,2026-09-05 03:00,120,PENDING
TRA-0017,TRACTION,CSTM-DR,Pantograph contact wear,MAJOR,2026-08-20,11,2026-09-10 01:00,2026-09-10 03:00,120,PENDING
ENG-0003,ENGINEERING,BZA-MS,Rail fracture risk,MAJOR,2026-08-22,7,2026-09-09 04:00,2026-09-09 06:00,120,PENDING
ENG-0016,ENGINEERING,GZB-ALJN,Bridge deck inspection due,CRITICAL,2026-08-22,9,2026-09-27 23:00,2026-09-28 02:00,180,PENDING
ENG-0019,ENGINEERING,BBS-VSKP,Ballast degradation,MAJOR,2026-08-22,8,2026-09-18 00:00,2026-09-18 02:00,120,PENDING
ENG-0008,ENGINEERING,VSKP-BBS,Ballast degradation,CRITICAL,2026-08-23,7,2026-09-04 00:00,2026-09-04 03:00,180,PENDING
TRA-0016,TRACTION,PNBE-MGS,Pantograph contact wear,MAJOR,2026-08-23,8,2026-09-11 02:00,2026-09-11 04:00,120,PENDING
TRA-0018,TRACTION,PNBE-NJP,Insulator flashover risk,MAJOR,2026-08-23,9,2026-09-29 01:00,2026-09-29 03:00,120,PENDING
ENG-0005,ENGINEERING,BBS-VSKP,Track geometry deviation,CRITICAL,2026-08-24,6,2026-09-29 03:00,2026-09-29 06:00,180,PENDING
ENG-0007,ENGINEERING,KOP-UBL,Fastening failure,MAJOR,2026-08-24,6,2026-09-20 02:00,2026-09-20 04:00,120,PENDING
ENG-0013,ENGINEERING,JBP-MGS,Fastening failure,CRITICAL,2026-08-24,5,2026-09-14 23:00,2026-09-15 02:00,180,PENDING
ENG-0038,ENGINEERING,BZA-CBE,Fastening failure,MAJOR,2026-08-24,8,2026-09-25 03:00,2026-09-25 05:00,120,PENDING
SIG-0002,SIGNAL_TELECOM,MGS-PNBE,Signal relay fault,CRITICAL,2026-08-24,5,2026-09-13 03:00,2026-09-13 06:00,180,PENDING
SIG-0037,SIGNAL_TELECOM,BPL-ET,Point machine malfunction,CRITICAL,2026-08-24,5,2026-09-24 03:00,2026-09-24 06:00,180,PENDING
SIG-0038,SIGNAL_TELECOM,PURI-BBS,Cable insulation fault,CRITICAL,2026-08-24,7,2026-09-11 01:00,2026-09-11 04:00,180,PENDING
ENG-0024,ENGINEERING,PURI-BBS,Rail wear beyond limit,CRITICAL,2026-08-25,6,2026-09-10 22:00,2026-09-11 01:00,180,PENDING
TRA-0004,TRACTION,LDH-UMB,Traction substation overdue check,CRITICAL,2026-08-25,5,2026-09-22 00:00,2026-09-22 03:00,180,PENDING
ENG-0002,ENGINEERING,BRC-ADI,Rail wear beyond limit,CRITICAL,2026-08-26,6,2026-09-02 01:00,2026-09-02 04:00,180,PENDING
ENG-0017,ENGINEERING,AGC-GWL,Rail wear beyond limit,CRITICAL,2026-08-26,4,2026-09-19 00:00,2026-09-19 03:00,180,PENDING
ENG-0053,ENGINEERING,CBE-ERS,Ballast degradation,CRITICAL,2026-08-26,6,2026-09-13 02:00,2026-09-13 05:00,180,PENDING
SIG-0019,SIGNAL_TELECOM,BBS-CTC,Axle counter fault,CRITICAL,2026-08-26,5,2026-09-07 00:00,2026-09-07 03:00,180,PENDING
SIG-0036,SIGNAL_TELECOM,NDLS-GZB,Point machine malfunction,CRITICAL,2026-08-26,5,2026-09-09 02:00,2026-09-09 05:00,180,PENDING
TRA-0005,TRACTION,JHS-BPL,Insulator flashover risk,CRITICAL,2026-08-26,4,2026-09-21 00:00,2026-09-21 03:00,180,PENDING
TRA-0021,TRACTION,BE-LKO,Pantograph contact wear,CRITICAL,2026-08-26,4,2026-09-04 02:00,2026-09-04 05:00,180,PENDING
ENG-0001,ENGINEERING,TVC-ERS,Track geometry deviation,CRITICAL,2026-08-27,5,2026-09-23 23:00,2026-09-24 02:00,180,PENDING
ENG-0022,ENGINEERING,R-BSP,Track geometry deviation,CRITICAL,2026-08-27,3,2026-09-09 01:00,2026-09-09 04:00,180,PENDING
ENG-0028,ENGINEERING,JHS-GWL,Rail fracture risk,CRITICAL,2026-08-27,5,2026-09-29 03:00,2026-09-29 06:00,180,PENDING
ENG-0033,ENGINEERING,ALJN-GZB,Ballast degradation,CRITICAL,2026-08-27,5,2026-09-16 00:00,2026-09-16 03:00,180,PENDING
ENG-0040,ENGINEERING,MB-GZB,Rail fracture risk,CRITICAL,2026-08-27,4,2026-09-14 01:00,2026-09-14 04:00,180,PENDING
SIG-0008,SIGNAL_TELECOM,JHS-GWL,Cable insulation fault,CRITICAL,2026-08-27,4,2026-09-13 04:00,2026-09-13 07:00,180,PENDING
SIG-0030,SIGNAL_TELECOM,GWL-JHS,Track circuit failure,CRITICAL,2026-08-27,4,2026-09-28 04:00,2026-09-28 07:00,180,PENDING
ENG-0009,ENGINEERING,ADI-BRC,Track geometry deviation,CRITICAL,2026-08-28,3,2026-09-13 03:00,2026-09-13 06:00,180,PENDING
SIG-0032,SIGNAL_TELECOM,RTM-BRC,Interlocking overdue check,CRITICAL,2026-08-28,3,2026-09-03 03:00,2026-09-03 06:00,180,PENDING
SIG-0007,SIGNAL_TELECOM,SC-GTL,Cable insulation fault,CRITICAL,2026-08-29,2,2026-09-10 01:00,2026-09-10 04:00,180,PENDING
ENG-0035,ENGINEERING,TATA-GAYA,Rail wear beyond limit,CRITICAL,2026-09-01,0,2026-09-07 04:00,2026-09-07 07:00,180,PENDING
SIG-0020,SIGNAL_TELECOM,KYN-PNVL,Signal relay fault,MAJOR,2026-09-01,0,2026-09-16 02:00,2026-09-16 04:00,120,PENDING
