train_number,train_name,station_code,station_name,arrival,departure,day,distance,zone,division
12720,HYDERABAD DECCAN - AJMER SF Exp,ET,ITARSI JN,12:15:00,12:25:00,2,,WCR,Madhya Pradesh
12720,HYDERABAD DECCAN - AJMER SF Exp,BPL,BHOPAL JN,14:30:00,14:40:00,2,,WCR,Madhya Pradesh
12720,HYDERABAD DECCAN - AJMER SF Exp,RTM,RATLAM JN,19:30:00,19:50:00,2,,WR,Madhya Pradesh
13009,Doon Express,HWH,HOWRAH JN,None,20:35:00,1,,ER,West Bengal
13009,Doon Express,BWN,BARDDHAMAN JN,22:33:00,22:38:00,1,,ER,West Bengal
13009,Doon Express,ASN,ASANSOL JN,00:18:00,00:23:00,2,,ER,West Bengal
13009,Doon Express,DHN,DHANBAD JN,01:25:00,01:30:00,2,,ECR,Jharkhand
13009,Doon Express,GAYA,GAYA JN,04:55:00,05:00:00,2,,ECR,Bihar
13009,Doon Express,MGS,MUGHAL SARAI JN,09:15:00,09:40:00,2,,ECR,Uttar Pradesh
13009,Doon Express,LKO,LUCKNOW,18:15:00,18:30:00,2,,NER,Uttar Pradesh
13009,Doon Express,BE,BAREILLY,22:38:00,22:43:00,2,,NER,Uttar Pradesh
13009,Doon Express,MB,MORADABAD,00:15:00,00:25:00,3,,NR,Uttar Pradesh
12389,GAYA - CHENNAI EGMORE SF Exp,GAYA,GAYA JN,None,05:45:00,1,,ECR,Bihar
12389,GAYA - CHENNAI EGMORE SF Exp,MGS,MUGHAL SARAI JN,08:40:00,09:00:00,1,,ECR,Uttar Pradesh
12389,GAYA - CHENNAI EGMORE SF Exp,JBP,JABALPUR,16:45:00,16:55:00,1,,WCR,Madhya Pradesh
12389,GAYA - CHENNAI EGMORE SF Exp,ET,ITARSI JN,20:50:00,21:10:00,1,,WCR,Madhya Pradesh
12389,GAYA - CHENNAI EGMORE SF Exp,NGP,NAGPUR,01:40:00,01:50:00,2,,SECR,Maharashtra
12389,GAYA - CHENNAI EGMORE SF Exp,BZA,VIJAYAWADA JN,12:40:00,12:55:00,2,,SCR,Andhra Pradesh
12389,GAYA - CHENNAI EGMORE SF Exp,MS,CHENNAI EGMORE,20:45:00,None,2,,SR,Tamil Nadu
09002,Ahmedabad Mumbai Central Superfast Special,ADI,AHMEDABAD JN,None,21:40:00,1,,WR,Gujarat
09002,Ahmedabad Mumbai Central Superfast Special,BRC,VADODARA JN,23:20:00,23:25:00,1,,WR,Gujarat
09002,Ahmedabad Mumbai Central Superfast Special,ST,SURAT,01:11:00,01:14:00,2,,WR,Gujarat
09002,Ahmedabad Mumbai Central Superfast Special,BCT,Mumbai Central,05:45:00,None,2,,WR,Maharashtra
11014,Coimbatore Mumbai LTT Express,CBE,COIMBATORE JN,None,08:00:00,1,,SR,Tamil Nadu
11014,Coimbatore Mumbai LTT Express,SBC,BANGALORE CITY JN,15:05:00,15:25:00,1,,SWR,Karnataka
11014,Coimbatore Mumbai LTT Express,GTL,GUNTAKAL JN,21:55:00,22:00:00,1,,SCR,Andhra Pradesh
11014,Coimbatore Mumbai LTT Express,SUR,SOLAPUR JN,05:25:00,05:35:00,2,,CR,Maharashtra
11014,Coimbatore Mumbai LTT Express,PUNE,PUNE JN,10:35:00,10:45:00,2,,CR,Maharashtra
11014,Coimbatore Mumbai LTT Express,KYN,KALYAN JN,13:24:00,13:25:00,2,,CR,Maharashtra
57473,Secunderabad Bodhan Passenger,SC,SECUNDERABAD JN,None,17:00:00,1,,SCR,Telangana
57473,Secunderabad Bodhan Passenger,NZB,NIZAMABAD,21:20:00,21:25:00,1,,SCR,Andhra Pradesh
17209,BANGALORE - KAKINADA TOWN Seshadri Exp,SBC,BANGALORE CITY JN,None,13:20:00,1,,SWR,Karnataka
17209,BANGALORE - KAKINADA TOWN Seshadri Exp,BZA,VIJAYAWADA JN,02:45:00,03:05:00,2,,SCR,Andhra Pradesh
12361,ASANSOL - MUMBAI CST SF Exp,ASN,ASANSOL JN,None,19:45:00,1,,ER,West Bengal
12361,ASANSOL - MUMBAI CST SF Exp,PNBE,PATNA JN,01:05:00,01:15:00,2,,ECR,Bihar
12361,ASANSOL - MUMBAI CST SF Exp,MGS,MUGHAL SARAI JN,05:15:00,05:35:00,2,,ECR,Uttar Pradesh
12361,ASANSOL - MUMBAI CST SF Exp,JBP,JABALPUR,13:45:00,13:55:00,2,,WCR,Madhya Pradesh
12361,ASANSOL - MUMBAI CST SF Exp,ET,ITARSI JN,18:00:00,18:10:00,2,,WCR,Madhya Pradesh
12361,ASANSOL - MUMBAI CST SF Exp,KYN,KALYAN JN,05:05:00,05:10:00,3,,CR,Maharashtra
12361,ASANSOL - MUMBAI CST SF Exp,DR,MUMBAI DADAR CENTRAL,06:04:00,06:05:00,3,,CR,Maharashtra
12361,ASANSOL - MUMBAI CST SF Exp,CSTM,MUMBAI CST,06:25:00,None,3,,CR,Maharashtra
51410,Shree Chatrapati Shahu M(T) Kolhapur- Pune Passenger,KOP,C SHAHU M RAJ KOLHAPUR TERM,None,04:45:00,1,,CR,Maharashtra
51410,Shree Chatrapati Shahu M(T) Kolhapur- Pune Passenger,PUNE,PUNE JN,16:25:00,None,1,,CR,Maharashtra
12031,Amritsar Shatabdi Express,NDLS,NEW DELHI,None,07:20:00,1,,NR,Delhi
12031,Amritsar Shatabdi Express,UMB,AMBALA CANT JN,09:55:00,09:57:00,1,,NR,Haryana
12031,Amritsar Shatabdi Express,LDH,LUDHIANA JN,11:20:00,11:23:00,1,,NR,Punjab
12031,Amritsar Shatabdi Express,ASR,AMRITSAR JN,13:25:00,None,1,,NR,Punjab
12412,AMRITSAR - CHANDIGARH Intercity SF Exp,ASR,AMRITSAR JN,None,None,,,NR,Punjab
12412,AMRITSAR - CHANDIGARH Intercity SF Exp,LDH,LUDHIANA JN,None,None,,,NR,Punjab
12412,AMRITSAR - CHANDIGARH Intercity SF Exp,CDG,CHANDIGARH,None,None,,,NR,Chandigarh
54051,Ludhiana Firozpur Passenger,LDH,LUDHIANA JN,None,10:05:00,1,,NR,Punjab
54051,Ludhiana Firozpur Passenger,FZR,FIROZPUR CANT,13:00:00,None,1,,NR,Punjab
12062,Jabalpur-HabibGanj Bhopal Jan Shatabdi,JBP,JABALPUR,None,06:00:00,1,,WCR,Madhya Pradesh
12062,Jabalpur-HabibGanj Bhopal Jan Shatabdi,ET,ITARSI JN,09:35:00,09:45:00,1,,WCR,Madhya Pradesh
19943,UDAIPUR - AHMEDABAD Exp,UDZ,UDAIPUR CITY,None,19:25:00,1,,NWR,Rajasthan
19943,UDAIPUR - AHMEDABAD Exp,ADI,AHMEDABAD JN,04:25:00,None,2,,WR,Gujarat
19303,InterCity Express,RTM,RATLAM JN,None,06:00:00,1,,WR,Madhya Pradesh
19303,InterCity Express,BPL,BHOPAL JN,11:25:00,None,1,,WCR,Madhya Pradesh
12839,Howrah Chennai Superfast Mail,HWH,HOWRAH JN,None,23:45:00,1,,ER,West Bengal
12839,Howrah Chennai Superfast Mail,CTC,CUTTACK,05:35:00,05:40:00,2,,ECoR,Odisha
12839,Howrah Chennai Superfast Mail,BBS,BHUBANESWAR,06:15:00,06:20:00,2,,ECoR,Odisha
12839,Howrah Chennai Superfast Mail,VSKP,VISHAKAPATNAM,13:50:00,14:10:00,2,,ECoR,Andhra Pradesh
12839,Howrah Chennai Superfast Mail,BZA,VIJAYAWADA JN,20:30:00,20:45:00,2,,SCR,Andhra Pradesh
12839,Howrah Chennai Superfast Mail,MAS,CHENNAI CENTRAL,03:50:00,None,3,,SR,Tamil Nadu
12071,Mumbai Aurangabad Jan Shatabdi,CSTM,MUMBAI CST,None,13:50:00,1,,CR,Maharashtra
12071,Mumbai Aurangabad Jan Shatabdi,DR,MUMBAI DADAR CENTRAL,13:58:00,14:00:00,1,,CR,Maharashtra
12071,Mumbai Aurangabad Jan Shatabdi,KYN,KALYAN JN,14:44:00,14:47:00,1,,CR,Maharashtra
12071,Mumbai Aurangabad Jan Shatabdi,AWB,AURANGABAD,20:35:00,None,1,,SCR,Maharashtra
51409,Pune -Shree Chatrapati Shahu M(T) Kolhapur Pass,PUNE,PUNE JN,None,09:15:00,1,,CR,Maharashtra
51409,Pune -Shree Chatrapati Shahu M(T) Kolhapur Pass,KOP,C SHAHU M RAJ KOLHAPUR TERM,19:30:00,None,1,,CR,Maharashtra
12080,Hubli Bangalore Janshatabdi,UBL,HUBLI JN,None,14:00:00,1,,SWR,Karnataka
12080,Hubli Bangalore Janshatabdi,SBC,BANGALORE CITY JN,21:25:00,None,1,,SWR,Karnataka
19772,Amritsar - Jaipur Express,ASR,AMRITSAR JN,None,14:30:00,1,,NR,Punjab
19772,Amritsar - Jaipur Express,LDH,LUDHIANA JN,16:35:00,16:45:00,1,,NR,Punjab
19772,Amritsar - Jaipur Express,FZR,FIROZPUR CANT,19:20:00,19:45:00,1,,NR,Punjab
19772,Amritsar - Jaipur Express,JP,JAIPUR,07:30:00,None,2,,NWR,Rajasthan
12957,Ahmadabad-New Delhi Swarna Jayanti Rajdhani Expres,ADI,AHMEDABAD JN,None,17:45:00,1,,WR,Gujarat
12957,Ahmadabad-New Delhi Swarna Jayanti Rajdhani Expres,JP,JAIPUR,02:45:00,02:50:00,2,,NWR,Rajasthan
12957,Ahmadabad-New Delhi Swarna Jayanti Rajdhani Expres,NDLS,NEW DELHI,07:25:00,None,2,,NR,Delhi
13185,Ganga Sagar Express,SDAH,KOLKATA SEALDAH,None,15:40:00,1,,ER,West Bengal
13185,Ganga Sagar Express,BWN,BARDDHAMAN JN,18:35:00,18:39:00,1,,ER,West Bengal
13185,Ganga Sagar Express,ASN,ASANSOL JN,20:30:00,20:50:00,1,,ER,West Bengal
12725,Siddhaganga Intercity Express,SBC,BANGALORE CITY JN,None,13:00:00,1,,SWR,Karnataka
12725,Siddhaganga Intercity Express,UBL,HUBLI JN,21:10:00,21:15:00,1,,SWR,Karnataka
12390,CHENNAI EGMORE - GAYA SF Exp,MS,CHENNAI EGMORE,None,07:30:00,1,,SR,Tamil Nadu
12390,CHENNAI EGMORE - GAYA SF Exp,BZA,VIJAYAWADA JN,14:20:00,14:35:00,1,,SCR,Andhra Pradesh
12390,CHENNAI EGMORE - GAYA SF Exp,NGP,NAGPUR,00:45:00,00:55:00,2,,SECR,Maharashtra
12390,CHENNAI EGMORE - GAYA SF Exp,ET,ITARSI JN,06:00:00,06:15:00,2,,WCR,Madhya Pradesh
12390,CHENNAI EGMORE - GAYA SF Exp,JBP,JABALPUR,09:50:00,10:00:00,2,,WCR,Madhya Pradesh
12390,CHENNAI EGMORE - GAYA SF Exp,MGS,MUGHAL SARAI JN,18:35:00,18:55:00,2,,ECR,Uttar Pradesh
12390,CHENNAI EGMORE - GAYA SF Exp,GAYA,GAYA JN,21:40:00,None,2,,ECR,Bihar
51421,Pune-Nizamabad Pass,PUNE,PUNE JN,None,14:25:00,1,,CR,Maharashtra
51421,Pune-Nizamabad Pass,AWB,AURANGABAD,00:50:00,00:55:00,2,,SCR,Maharashtra
51421,Pune-Nizamabad Pass,NZB,NIZAMABAD,10:20:00,None,2,,SCR,Andhra Pradesh
12078,Vijayawada Chennai Jan Shatabdi,BZA,VIJAYAWADA JN,None,14:35:00,1,,SCR,Andhra Pradesh
12078,Vijayawada Chennai Jan Shatabdi,MAS,CHENNAI CENTRAL,21:10:00,None,1,,SR,Tamil Nadu
12411,CHANDIGARH - AMRITSAR Intercity SF Exp,CDG,CHANDIGARH,None,None,,,NR,Chandigarh
12411,CHANDIGARH - AMRITSAR Intercity SF Exp,LDH,LUDHIANA JN,None,None,,,NR,Punjab
12411,CHANDIGARH - AMRITSAR Intercity SF Exp,ASR,AMRITSAR JN,None,None,,,NR,Punjab
18235,Bilaspur Express Cum Passenger,BPL,BHOPAL JN,None,08:00:00,1,,WCR,Madhya Pradesh
18235,Bilaspur Express Cum Passenger,BSP,BILASPUR JN,06:05:00,None,2,,SECR,Chhattisgarh
54803,JODHPUR - AHMEDABAD Passenger,JU,JODHPUR JN,None,08:45:00,1,,NWR,Rajasthan
54803,JODHPUR - AHMEDABAD Passenger,ADI,AHMEDABAD JN,21:35:00,None,1,,WR,Gujarat
56237,Mysore Bangalore (PUSH-PULL) Passenger,MYS,MYSORE JN,None,14:25:00,1,,SWR,Karnataka
56237,Mysore Bangalore (PUSH-PULL) Passenger,SBC,BANGALORE CITY JN,18:00:00,None,1,,SWR,Karnataka
12808,Samata Express,NZM,DELHI H NIZAMUDDIN,None,08:40:00,1,,NR,Delhi
12808,Samata Express,AGC,AGRA CANTT,11:30:00,11:35:00,1,,NCR,Uttar Pradesh
12808,Samata Express,GWL,GWALIOR JN,13:02:00,13:07:00,1,,NCR,Madhya Pradesh
12808,Samata Express,JHS,JHANSI JN,14:35:00,14:45:00,1,,NCR,Uttar Pradesh
12808,Samata Express,BPL,BHOPAL JN,19:10:00,19:15:00,1,,WCR,Madhya Pradesh
12808,Samata Express,ET,ITARSI JN,21:00:00,21:10:00,1,,WCR,Madhya Pradesh
12808,Samata Express,NGP,NAGPUR,01:40:00,02:05:00,2,,SECR,Maharashtra
12808,Samata Express,R,RAIPUR JN,06:55:00,07:20:00,2,,SECR,Chhattisgarh
12808,Samata Express,VSKP,VISHAKAPATNAM,18:30:00,None,2,,ECoR,Andhra Pradesh
12850,Pune Bilaspur Superfast Express,PUNE,PUNE JN,None,17:40:00,1,,CR,Maharashtra
12850,Pune Bilaspur Superfast Express,NGP,NAGPUR,09:25:00,09:40:00,2,,SECR,Maharashtra
12850,Pune Bilaspur Superfast Express,R,RAIPUR JN,14:05:00,14:15:00,2,,SECR,Chhattisgarh
12850,Pune Bilaspur Superfast Express,BSP,BILASPUR JN,16:50:00,None,2,,SECR,Chhattisgarh
51455,Pune Solapur Passenger,PUNE,PUNE JN,None,22:50:00,1,,CR,Maharashtra
51455,Pune Solapur Passenger,SUR,SOLAPUR JN,07:20:00,None,2,,CR,Maharashtra
12489,Bikaner-Dadar Express,BKN,BIKANER JN,None,13:50:00,1,,NWR,Rajasthan
12489,Bikaner-Dadar Express,JU,JODHPUR JN,18:15:00,18:30:00,1,,NWR,Rajasthan
12489,Bikaner-Dadar Express,ADI,AHMEDABAD JN,04:20:00,04:40:00,2,,WR,Gujarat
12489,Bikaner-Dadar Express,BRC,VADODARA JN,06:25:00,06:30:00,2,,WR,Gujarat
12489,Bikaner-Dadar Express,ST,SURAT,08:28:00,08:33:00,2,,WR,Gujarat
12451,Shram Shakti Express,CNB,KANPUR CENTRAL,None,23:45:00,1,,NCR,Uttar Pradesh
12451,Shram Shakti Express,TDL,TUNDLA JN,03:15:00,03:15:00,2,,NCR,Uttar Pradesh
12451,Shram Shakti Express,ALJN,ALIGARH JN,04:26:00,04:26:00,2,,NCR,Uttar Pradesh
12451,Shram Shakti Express,GZB,GHAZIABAD,06:02:00,06:02:00,2,,NR,Uttar Pradesh
12451,Shram Shakti Express,NDLS,NEW DELHI,06:20:00,None,2,,NR,Delhi
58840,Jabalpur Nir Nagpur Passenger,JBP,JABALPUR,None,20:30:00,1,,WCR,Madhya Pradesh
58840,Jabalpur Nir Nagpur Passenger,NGP,NAGPUR,15:30:00,None,2,,SECR,Maharashtra
12581,Pune Bhubaneshwar Express,PUNE,PUNE JN,None,11:15:00,1,,CR,Maharashtra
12581,Pune Bhubaneshwar Express,SUR,SOLAPUR JN,15:05:00,15:15:00,1,,CR,Maharashtra
12581,Pune Bhubaneshwar Express,SC,SECUNDERABAD JN,21:30:00,21:40:00,1,,SCR,Telangana
12581,Pune Bhubaneshwar Express,BZA,VIJAYAWADA JN,04:00:00,04:15:00,2,,SCR,Andhra Pradesh
12581,Pune Bhubaneshwar Express,BBS,BHUBANESWAR,17:35:00,None,2,,ECoR,Odisha
19024,Firozpur Mumbai Janata Express,FZR,FIROZPUR CANT,None,04:30:00,1,,NR,Punjab
19024,Firozpur Mumbai Janata Express,NDLS,NEW DELHI,12:35:00,13:05:00,1,,NR,Delhi
19024,Firozpur Mumbai Janata Express,NZM,DELHI H NIZAMUDDIN,13:25:00,13:28:00,1,,NR,Delhi
19024,Firozpur Mumbai Janata Express,KOTA,KOTA JN,23:15:00,23:30:00,1,,WCR,Rajasthan
19024,Firozpur Mumbai Janata Express,RTM,RATLAM JN,06:06:00,06:15:00,2,,WR,Madhya Pradesh
19024,Firozpur Mumbai Janata Express,BRC,VADODARA JN,10:50:00,11:00:00,2,,WR,Gujarat
19024,Firozpur Mumbai Janata Express,ST,SURAT,13:35:00,13:40:00,2,,WR,Gujarat
19024,Firozpur Mumbai Janata Express,BCT,Mumbai Central,20:10:00,None,2,,WR,Maharashtra
16724,TRIVANDRUM - CHENNAI EGMORE Anantapuri Exp,TVC,TRIVANDRUM CENTRAL,None,16:20:00,1,,SR,Kerala
16724,TRIVANDRUM - CHENNAI EGMORE Anantapuri Exp,MS,CHENNAI EGMORE,08:40:00,None,2,,SR,Tamil Nadu
16381,Mumbai CST - Kanyakumari Express,CSTM,MUMBAI CST,None,15:45:00,1,,CR,Maharashtra
16381,Mumbai CST - Kanyakumari Express,DR,MUMBAI DADAR CENTRAL,15:58:00,16:00:00,1,,CR,Maharashtra
16381,Mumbai CST - Kanyakumari Express,KYN,KALYAN JN,16:38:00,16:40:00,1,,CR,Maharashtra
16381,Mumbai CST - Kanyakumari Express,PUNE,PUNE JN,19:15:00,19:25:00,1,,CR,Maharashtra
16381,Mumbai CST - Kanyakumari Express,SUR,SOLAPUR JN,00:45:00,00:55:00,2,,CR,Maharashtra
16381,Mumbai CST - Kanyakumari Express,GTL,GUNTAKAL JN,08:05:00,08:20:00,2,,SCR,Andhra Pradesh
16381,Mumbai CST - Kanyakumari Express,CBE,COIMBATORE JN,23:59:00,00:05:00,2,,SR,Tamil Nadu
16381,Mumbai CST - Kanyakumari Express,ERS,ERNAKULAM JN,04:49:00,04:49:00,3,,SR,Kerala
16381,Mumbai CST - Kanyakumari Express,TVC,TRIVANDRUM CENTRAL,10:15:00,10:20:00,3,,SR,Kerala
11097,PUNE - ERNAKULAM Poorna Exp,PUNE,PUNE JN,None,23:10:00,1,,CR,Maharashtra
11097,PUNE - ERNAKULAM Poorna Exp,ERS,ERNAKULAM JN,04:20:00,None,3,,SR,Kerala
54101,Allahabad Kanpur Passenger,ALD,ALLAHABAD JN,None,16:45:00,1,,NCR,Uttar Pradesh
54101,Allahabad Kanpur Passenger,CNB,KANPUR CENTRAL,23:05:00,None,1,,NCR,Uttar Pradesh
56913,Bangalore Hubli Fast Passenger,SBC,BANGALORE CITY JN,None,06:30:00,1,,SWR,Karnataka
56913,Bangalore Hubli Fast Passenger,UBL,HUBLI JN,17:45:00,None,1,,SWR,Karnataka
51422,Nizamabad Pune Passenger,NZB,NIZAMABAD,None,23:40:00,1,,SCR,Andhra Pradesh
51422,Nizamabad Pune Passenger,AWB,AURANGABAD,08:15:00,08:20:00,2,,SCR,Maharashtra
51422,Nizamabad Pune Passenger,PUNE,PUNE JN,20:55:00,None,2,,CR,Maharashtra
19311,Pune Indore Express,PUNE,PUNE JN,None,15:20:00,1,,CR,Maharashtra
19311,Pune Indore Express,KYN,KALYAN JN,17:40:00,17:45:00,1,,CR,Maharashtra
19311,Pune Indore Express,ST,SURAT,23:20:00,23:25:00,1,,WR,Gujarat
19311,Pune Indore Express,BRC,VADODARA JN,01:10:00,01:28:00,2,,WR,Gujarat
19311,Pune Indore Express,RTM,RATLAM JN,05:35:00,05:45:00,2,,WR,Madhya Pradesh
59026,Surat Fast Passenger,AMI,Amravati,None,09:00:00,1,,CR,Maharashtra
59026,Surat Fast Passenger,ST,SURAT,21:15:00,None,1,,WR,Gujarat
59811,Haldighati Passenger,RTM,RATLAM JN,None,08:45:00,1,,WR,Madhya Pradesh
59811,Haldighati Passenger,KOTA,KOTA JN,20:20:00,21:00:00,1,,WCR,Rajasthan
57130,Hyderabad Bijapur Passenger,HYB,HYDERABAD DECCAN,None,19:50:00,1,,SCR,Andhra Pradesh
57130,Hyderabad Bijapur Passenger,SUR,SOLAPUR JN,07:20:00,07:45:00,2,,CR,Maharashtra
16732,Mysore-Tuticorin Express,MYS,MYSORE JN,None,18:00:00,1,,SWR,Karnataka
16732,Mysore-Tuticorin Express,SBC,BANGALORE CITY JN,21:10:00,21:20:00,1,,SWR,Karnataka
58433,Cuttack Berhampur Fast Passenger,CTC,CUTTACK,None,17:45:00,1,,ECoR,Odisha
58433,Cuttack Berhampur Fast Passenger,BBS,BHUBANESWAR,18:25:00,18:30:00,1,,ECoR,Odisha
51449,Pune Solapur Passenger,PUNE,PUNE JN,None,08:15:00,1,,CR,Maharashtra
51449,Pune Solapur Passenger,SUR,SOLAPUR JN,15:40:00,None,1,,CR,Maharashtra
51450,Solapur Pune Passenger,SUR,SOLAPUR JN,None,23:00:00,1,,CR,Maharashtra
51450,Solapur Pune Passenger,PUNE,PUNE JN,06:15:00,None,2,,CR,Maharashtra
16349,Trivandrum Nilambur Road Rajya Rani Express,TVC,TRIVANDRUM CENTRAL,None,22:30:00,1,,SR,Kerala
16349,Trivandrum Nilambur Road Rajya Rani Express,ERS,ERNAKULAM JN,02:48:00,02:48:00,2,,SR,Kerala
53132,Muzaffarpur Sealdah Passenger,MFP,MUZAFFARPUR JN,None,07:45:00,1,,ECR,Bihar
53132,Muzaffarpur Sealdah Passenger,ASN,ASANSOL JN,21:15:00,21:35:00,1,,ER,West Bengal
53132,Muzaffarpur Sealdah Passenger,BWN,BARDDHAMAN JN,00:07:00,00:12:00,2,,ER,West Bengal
53132,Muzaffarpur Sealdah Passenger,SDAH,KOLKATA SEALDAH,03:25:00,None,2,,ER,West Bengal
53521,ASANSOL VARANASI PASSENGER,ASN,ASANSOL JN,None,06:30:00,1,,ER,West Bengal
53521,ASANSOL VARANASI PASSENGER,DHN,DHANBAD JN,08:00:00,08:10:00,1,,ECR,Jharkhand
53521,ASANSOL VARANASI PASSENGER,GAYA,GAYA JN,14:36:00,15:10:00,1,,ECR,Bihar
53521,ASANSOL VARANASI PASSENGER,MGS,MUGHAL SARAI JN,20:20:00,20:40:00,1,,ECR,Uttar Pradesh
14650,Saryu Yamuna Express,ASR,AMRITSAR JN,None,11:55:00,1,,NR,Punjab
14650,Saryu Yamuna Express,LDH,LUDHIANA JN,14:25:00,14:35:00,1,,NR,Punjab
14650,Saryu Yamuna Express,UMB,AMBALA CANT JN,17:00:00,17:10:00,1,,NR,Haryana
14650,Saryu Yamuna Express,GZB,GHAZIABAD,22:05:00,22:07:00,1,,NR,Uttar Pradesh
14650,Saryu Yamuna Express,MB,MORADABAD,00:35:00,00:50:00,2,,NR,Uttar Pradesh
14650,Saryu Yamuna Express,BE,BAREILLY,02:15:00,02:20:00,2,,NER,Uttar Pradesh
14650,Saryu Yamuna Express,LKO,LUCKNOW,06:10:00,06:20:00,2,,NER,Uttar Pradesh
14650,Saryu Yamuna Express,MFP,MUZAFFARPUR JN,19:25:00,19:35:00,2,,ECR,Bihar
12951,Mumbai Central-New Delhi Rajdhani Express,BCT,Mumbai Central,None,16:40:00,1,,WR,Maharashtra
12951,Mumbai Central-New Delhi Rajdhani Express,ST,SURAT,19:37:00,19:40:00,1,,WR,Gujarat
12951,Mumbai Central-New Delhi Rajdhani Express,BRC,VADODARA JN,21:06:00,21:22:00,1,,WR,Gujarat
12951,Mumbai Central-New Delhi Rajdhani Express,RTM,RATLAM JN,00:40:00,00:43:00,2,,WR,Madhya Pradesh
12951,Mumbai Central-New Delhi Rajdhani Express,KOTA,KOTA JN,03:20:00,03:30:00,2,,WCR,Rajasthan
12951,Mumbai Central-New Delhi Rajdhani Express,NZM,DELHI H NIZAMUDDIN,08:29:00,08:29:00,2,,NR,Delhi
12951,Mumbai Central-New Delhi Rajdhani Express,NDLS,NEW DELHI,08:30:00,None,2,,NR,Delhi
16321,Bangalore Tiruvananthapuram Weekly Express,SBC,BANGALORE CITY JN,None,18:50:00,1,,SWR,Karnataka
16321,Bangalore Tiruvananthapuram Weekly Express,CBE,COIMBATORE JN,01:55:00,02:00:00,2,,SR,Tamil Nadu
16321,Bangalore Tiruvananthapuram Weekly Express,ERS,ERNAKULAM JN,06:20:00,06:30:00,2,,SR,Kerala
16321,Bangalore Tiruvananthapuram Weekly Express,TVC,TRIVANDRUM CENTRAL,12:00:00,None,2,,SR,Kerala
56906,Hubli - Solapur Passenger,UBL,HUBLI JN,None,13:10:00,1,,SWR,Karnataka
56906,Hubli - Solapur Passenger,SUR,SOLAPUR JN,22:40:00,None,1,,CR,Maharashtra
15646,GUWAHATI - MUMBAI LTT Exp,GHY,GUWAHATI,None,16:45:00,1,,NFR,Assam
15646,GUWAHATI - MUMBAI LTT Exp,NJP,NEW JALPAIGURI,01:05:00,01:20:00,2,,NFR,West Bengal
15646,GUWAHATI - MUMBAI LTT Exp,PNBE,PATNA JN,13:20:00,13:30:00,2,,ECR,Bihar
15646,GUWAHATI - MUMBAI LTT Exp,MGS,MUGHAL SARAI JN,17:40:00,18:00:00,2,,ECR,Uttar Pradesh
15646,GUWAHATI - MUMBAI LTT Exp,JBP,JABALPUR,02:00:00,02:10:00,3,,WCR,Madhya Pradesh
15646,GUWAHATI - MUMBAI LTT Exp,ET,ITARSI JN,07:10:00,07:25:00,3,,WCR,Madhya Pradesh
