request_id,department,section_id,defect_type,severity,reported_date,overdue_days,preferred_window_start,preferred_window_end,estimated_duration_min,status
SIG-0015,SIGNAL_TELECOM,PNBE-MGS,Cable insulation fault,MINOR,2026-08-06,24,2026-09-04 00:00,2026-09-04 01:30,90,PENDING
SIG-0016,SIGNAL_TELECOM,LDH-JAT,Track circuit failure,MAJOR,2026-08-14,18,2026-09-03 02:00,2026-09-03 04:00,120,PENDING
SIG-0017,SIGNAL_TELECOM,ERS-MAS,Signal relay fault,MINOR,2026-07-29,31,2026-09-15 23:00,2026-09-16 00:30,90,PENDING
SIG-0018,SIGNAL_TELECOM,KYN-PUNE,Axle counter fault,MINOR,2026-07-18,45,2026-09-26 00:00,2026-09-26 01:30,90,PENDING
SIG-0019,SIGNAL_TELECOM,BBS-CTC,Axle counter fault,CRITICAL,2026-08-26,5,2026-09-07 00:00,2026-09-07 03:00,180,PENDING
SIG-0020,SIGNAL_TELECOM,KYN-PNVL,Signal relay fault,MAJOR,2026-09-01,0,2026-09-16 02:00,2026-09-16 04:00,120,PENDING
SIG-0021,SIGNAL_TELECOM,BPL-JHS,Cable insulation fault,MINOR,2026-07-17,44,2026-09-26 04:00,2026-09-26 05:30,90,PENDING
SIG-0022,SIGNAL_TELECOM,ST-BRC,Cable insulation fault,MINOR,2026-07-30,30,2026-09-07 23:00,2026-09-08 00:30,90,PENDING
SIG-0023,SIGNAL_TELECOM,BWN-HWH,Point machine malfunction,MAJOR,2026-08-09,21,2026-09-26 00:00,2026-09-26 02:00,120,PENDING
SIG-0024,SIGNAL_TELECOM,TDL-ALJN,Track circuit failure,MINOR,2026-07-26,36,2026-09-10 03:00,2026-09-10 04:30,90,PENDING
SIG-0025,SIGNAL_TELECOM,LDH-ASR,Point machine malfunction,MAJOR,2026-08-11,20,2026-09-09 04:00,2026-09-09 06:00,120,PENDING
SIG-0026,SIGNAL_TELECOM,NZM-NDLS,Signal relay fault,MINOR,2026-07-16,44,2026-09-15 01:00,2026-09-15 02:30,90,PENDING
SIG-0027,SIGNAL_TELECOM,ET-NGP,Cable insulation fault,MAJOR,2026-08-13,19,2026-09-29 00:00,2026-09-29 02:00,120,PENDING
SIG-0028,SIGNAL_TELECOM,KYN-PUNE,Track circuit failure,MAJOR,2026-08-13,16,2026-09-19 23:00,2026-09-20 01:00,120,PENDING
SIG-0029,SIGNAL_TELECOM,GWL-AGC,Point machine malfunction,MINOR,2026-06-25,65,2026-09-09 03:00,2026-09-09 04:30,90,PENDING
SIG-0030,SIGNAL_TELECOM,GWL-JHS,Track circuit failure,CRITICAL,2026-08-27,4,2026-09-28 04:00,2026-09-28 07:00,180,PENDING
SIG-0031,SIGNAL_TELECOM,ERS-MAO,Cable insulation fault,MINOR,2026-08-10,22,2026-09-14 22:00,2026-09-14 23:30,90,PENDING
SIG-0032,SIGNAL_TELECOM,RTM-BRC,Interlocking overdue check,CRITICAL,2026-08-28,3,2026-09-03 03:00,2026-09-03 06:00,180,PENDING
SIG-0033,SIGNAL_TELECOM,BZA-NGP,Track circuit failure,MAJOR,2026-08-09,21,2026-09-26 04:00,2026-09-26 06:00,120,PENDING
SIG-0034,SIGNAL_TELECOM,PNBE-MGS,Axle counter fault,MINOR,2026-07-10,53,2026-09-25 22:00,2026-09-25 23:30,90,PENDING
SIG-0035,SIGNAL_TELECOM,ALJN-TDL,Point machine malfunction,MINOR,2026-07-05,58,2026-09-26 23:00,2026-09-27 00:30,90,PENDING
SIG-0036,SIGNAL_TELECOM,NDLS-GZB,Point machine malfunction,CRITICAL,2026-08-26,5,2026-09-09 02:00,2026-09-09 05:00,180,PENDING
SIG-0037,SIGNAL_TELECOM,BPL-ET,Point machine malfunction,CRITICAL,2026-08-24,5,2026-09-24 03:00,2026-09-24 06:00,180,PENDING
SIG-0038,SIGNAL_TELECOM,PURI-BBS,Cable insulation fault,CRITICAL,2026-08-24,7,2026-09-11 01:00,2026-09-11 04:00,180,PENDING
